,Company  (Maker-if known),ReviewDate,CocoaPercent,Location,Rating,Bean_Type,BroadOrigin,Cluster,ClusterColor
53,Altus aka Cao Artisan,2013,60.0,U.S.A.,3.25,Unknown,Peru,0,pink
54,Amano,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea,0,pink
55,Amano,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
56,Amano,2010,70.0,U.S.A.,4.0,Unknown,Ecuador,0,pink
57,Amano,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,1,purple
58,Amano,2009,70.0,U.S.A.,3.0,Unknown,Venezuela,1,purple
59,Amano,2008,70.0,U.S.A.,2.75,Unknown,Indonesia,1,purple
60,Amano,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,0,pink
61,Amano,2007,70.0,U.S.A.,3.0,Unknown,Venezuela,1,purple
62,Amano,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,0,pink
63,Amatller (Simon Coll),2009,70.0,Spain,3.0,Forastero,Ghana,1,purple
64,Amatller (Simon Coll),2009,70.0,Spain,2.75,Unknown,Ecuador,1,purple
65,Amatller (Simon Coll),2009,85.0,Spain,2.75,Unknown,Ecuador,2,dark purple
66,Amatller (Simon Coll),2009,85.0,Spain,3.0,Forastero,Ghana,2,dark purple
67,Amazona,2013,72.0,Peru,3.25,Unknown,Peru,0,pink
68,Amazona,2013,73.0,Peru,3.5,Trinitario,Peru,0,pink
69,Ambrosia,2015,64.0,Canada,3.0,Trinitario,Belize,1,purple
70,Ambrosia,2015,66.0,Canada,3.25,Trinitario,Madagascar,0,pink
71,Ambrosia,2015,75.0,Canada,3.25,Unknown,Dominican Republic,0,pink
72,Ambrosia,2015,63.0,Canada,3.25,Unknown,Papua New Guinea,0,pink
73,Ambrosia,2015,70.0,Canada,3.25,Unknown,Venezuela,0,pink
74,Ambrosia,2015,68.0,Canada,3.5,Unknown,Peru,0,pink
75,Amedei,2012,70.0,Italy,3.75,Unknown,Peru,0,pink
76,Amedei,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,0,pink
77,Amedei,2007,75.0,Italy,4.0,Blend,Unknown,0,pink
78,Amedei,2007,70.0,Italy,5.0,Trinitario,Venezuela,0,pink
79,Amedei,2007,70.0,Italy,3.0,Trinitario,Ecuador,1,purple
80,Amedei,2007,70.0,Italy,3.0,Trinitario,Jamaica,1,purple
81,Amedei,2007,70.0,Italy,3.5,Trinitario,Grenada,0,pink
82,Amedei,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,0,pink
83,Amedei,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,0,pink
84,Amedei,2007,70.0,Italy,3.5,Trinitario,Trinidad,0,pink
85,Amedei,2007,63.0,Italy,3.5,Blend,Unknown,0,pink
86,Amedei,2006,70.0,Italy,5.0,Blend,Unknown,0,pink
87,Amedei,2006,66.0,Italy,4.0,Blend,Unknown,0,pink
88,AMMA,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,0,pink
89,AMMA,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,2,dark purple
90,AMMA,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,0,pink
91,AMMA,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,0,pink
92,AMMA,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,0,pink
93,Anahata,2014,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
94,Animas,2016,75.0,U.S.A.,3.5,Unknown,Bolivia,0,pink
95,Ara,2014,75.0,France,3.0,Trinitario,Madagascar,1,purple
96,Ara,2014,72.0,France,2.5,Unknown,Mexico,1,purple
97,Ara,2014,75.0,France,2.75,Unknown,Ecuador,1,purple
98,Ara,2014,75.0,France,3.0,Unknown,Venezuela,1,purple
99,Arete,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,0,pink
100,Arete,2016,70.0,U.S.A.,3.75,Unknown,Tanzania,0,pink
101,Arete,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,0,pink
102,Arete,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
103,Arete,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
104,Arete,2016,70.0,U.S.A.,3.5,Unknown,Guatemala,0,pink
105,Arete,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,0,pink
106,Arete,2016,70.0,U.S.A.,3.5,Unknown,Honduras,0,pink
107,Arete,2016,70.0,U.S.A.,4.0,Unknown,Costa Rica,0,pink
108,Arete,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,0,pink
109,Arete,2016,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
110,Arete,2016,70.0,U.S.A.,3.25,Unknown,Fiji,0,pink
111,Arete,2016,73.0,U.S.A.,3.25,Unknown,Vietnam,0,pink
112,Arete,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0,pink
113,Arete,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,0,pink
114,Arete,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,0,pink
115,Arete,2015,70.0,U.S.A.,3.5,Unknown,Domincan Republic,0,pink
116,Arete,2015,70.0,U.S.A.,3.75,Trinitario,Belize,0,pink
117,Arete,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,0,pink
118,Arete,2015,75.0,U.S.A.,2.75,Unknown,Brazil,1,purple
119,Arete,2015,70.0,U.S.A.,3.25,Unknown,Guatemala,0,pink
120,Arete,2015,75.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
121,Artisan du Chocolat,2013,72.0,U.K.,3.25,Trinitario,Trinidad,0,pink
122,Artisan du Chocolat,2012,72.0,U.K.,3.75,Unknown,Colombia,0,pink
123,Artisan du Chocolat,2011,72.0,U.K.,4.0,Unknown,Haiti,0,pink
124,Artisan du Chocolat,2011,72.0,U.K.,2.75,Unknown,Panama,1,purple
125,Artisan du Chocolat,2010,100.0,U.K.,1.75,Unknown,Venezuela,2,dark purple
126,Artisan du Chocolat,2010,72.0,U.K.,3.75,Trinitario,Jamaica,0,pink
127,Artisan du Chocolat,2010,72.0,U.K.,3.25,Unknown,Costa Rica,0,pink
128,Artisan du Chocolat,2010,72.0,U.K.,3.25,Trinitario,Vietnam,0,pink
129,Artisan du Chocolat,2010,72.0,U.K.,3.5,Unknown,Indonesia,0,pink
130,Artisan du Chocolat,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,1,purple
131,Artisan du Chocolat,2009,72.0,U.K.,2.75,Trinitario,Indonesia,1,purple
132,Artisan du Chocolat,2009,72.0,U.K.,1.75,Unknown,Brazil,1,purple
133,Artisan du Chocolat,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,2,dark purple
134,Artisan du Chocolat,2009,75.0,U.K.,3.0,Criollo,Peru,1,purple
135,Artisan du Chocolat,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,0,pink
136,Artisan du Chocolat,2008,72.0,U.K.,3.75,Forastero,Congo,0,pink
137,Artisan du Chocolat (Casa Luker),2013,72.0,U.K.,2.75,Trinitario,Colombia,1,purple
138,Askinosie,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,0,pink
139,Askinosie,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,0,pink
140,Askinosie,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,0,pink
141,Askinosie,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,0,pink
142,Askinosie,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,1,purple
143,Askinosie,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,1,purple
144,Bahen & Co.,2015,80.0,Australia,3.25,Unknown,Unknown,2,dark purple
145,Bahen & Co.,2015,70.0,Australia,3.5,Unknown,Papua New Guinea,0,pink
146,Bahen & Co.,2012,70.0,Australia,3.0,Trinitario,Madagascar,1,purple
147,Bahen & Co.,2012,70.0,Australia,2.5,Unknown,Brazil,1,purple
148,Bahen & Co.,2012,70.0,Australia,2.5,Blend,Unknown,1,purple
149,Bakau,2015,70.0,Peru,2.75,Unknown,Peru,1,purple
150,Bakau,2015,70.0,Peru,3.5,Unknown,Peru,0,pink
151,Bar Au Chocolat,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0,pink
152,Bar Au Chocolat,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,0,pink
153,Bar Au Chocolat,2012,70.0,U.S.A.,3.25,Unknown,Dominican Republic,0,pink
154,Bar Au Chocolat,2012,70.0,U.S.A.,3.5,Unknown,Mexico,0,pink
155,Bar Au Chocolat,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0,pink
156,Baravelli's,2012,80.0,Wales,2.75,Unknown,Costa Rica,2,dark purple
157,Batch,2016,65.0,U.S.A.,3.5,Unknown,Domincan Republic,0,pink
158,Batch,2016,70.0,U.S.A.,3.75,Unknown,Brazil,0,pink
159,Batch,2016,65.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
160,Beau Cacao,2017,73.0,U.K.,3.0,Unknown,Malaysia,1,purple
161,Beau Cacao,2017,72.0,U.K.,3.25,Unknown,Malaysia,0,pink
162,Beehive,2016,80.0,U.S.A.,2.75,Unknown,Brazil,2,dark purple
163,Beehive,2016,70.0,U.S.A.,2.75,Unknown,Domincan Republic,1,purple
164,Beehive,2016,70.0,U.S.A.,2.75,Unknown,Ecuador,1,purple
165,Beehive,2016,90.0,U.S.A.,2.75,Unknown,Ecuador,2,dark purple
166,Belcolade,2010,64.0,Belgium,2.75,Unknown,Costa Rica,1,purple
167,Belcolade,2010,64.0,Belgium,2.75,Unknown,Papua New Guinea,1,purple
168,Belcolade,2010,64.0,Belgium,2.75,Unknown,Peru,1,purple
169,Belcolade,2010,71.0,Belgium,3.5,Unknown,Ecuador,0,pink
170,Bellflower,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,0,pink
171,Bellflower,2016,70.0,U.S.A.,3.25,Unknown,Bolivia,0,pink
172,Bellflower,2016,70.0,U.S.A.,3.5,Unknown,Domincan Republic,0,pink
173,Belyzium,2016,83.0,Germany,2.75,Trinitario,Belize,2,dark purple
174,Belyzium,2016,78.0,Germany,3.0,Trinitario,Belize,2,dark purple
175,Belyzium,2016,83.0,Germany,3.5,Trinitario,Belize,2,dark purple
176,Benoit Nihant,2013,74.0,Belgium,3.5,Trinitario,Cuba,0,pink
177,Benoit Nihant,2013,74.0,Belgium,3.5,Criollo,Venezuela,0,pink
178,Benoit Nihant,2013,74.0,Belgium,3.5,Criollo,Venezuela,0,pink
179,Benoit Nihant,2013,73.0,Belgium,4.0,Trinitario,Ecuador,0,pink
180,Benoit Nihant,2011,72.0,Belgium,4.0,Trinitario,Indonesia,0,pink
181,Benoit Nihant,2011,72.0,Belgium,3.75,Trinitario,Madagascar,0,pink
182,Bernachon,2012,55.0,France,2.75,Unknown,Unknown,1,purple
183,Beschle (Felchlin),2011,64.0,Switzerland,3.0,Trinitario,Madagascar,1,purple
184,Beschle (Felchlin),2011,88.0,Switzerland,3.0,Criollo,Venezuela,2,dark purple
185,Beschle (Felchlin),2011,72.0,Switzerland,3.5,Unknown,Venezuela,0,pink
186,Beschle (Felchlin),2011,72.0,Switzerland,4.0,Unknown,Ecuador,0,pink
187,Beschle (Felchlin),2010,70.0,Switzerland,3.25,Trinitario,Venezuela,0,pink
188,Beschle (Felchlin),2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,0,pink
189,Beschle (Felchlin),2010,64.0,Switzerland,3.5,Unknown,Indonesia,0,pink
190,Beschle (Felchlin),2010,72.0,Switzerland,3.5,Unknown,Venezuela,0,pink
191,Bisou,2015,76.0,U.S.A.,2.5,Unknown,Nicaragua,1,purple
192,Bisou,2015,76.0,U.S.A.,2.5,Unknown,Costa Rica,1,purple
193,Bisou,2015,78.0,U.S.A.,2.5,Unknown,Costa Rica,2,dark purple
194,Bisou,2015,86.0,U.S.A.,3.25,Trinitario,Belize,2,dark purple
195,Bittersweet Origins,2012,72.0,U.S.A.,3.5,Forastero,Ghana,0,pink
196,Bittersweet Origins,2010,75.0,U.S.A.,3.25,Unknown,Indonesia,0,pink
197,Bittersweet Origins,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",0,pink
198,Bittersweet Origins,2010,65.0,U.S.A.,2.75,Unknown,Indonesia,1,purple
199,Bittersweet Origins,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,1,purple
200,Bittersweet Origins,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,2,dark purple
201,Bittersweet Origins,2009,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
202,Bittersweet Origins,2009,65.0,U.S.A.,3.5,Unknown,Dominican Republic,0,pink
203,Bittersweet Origins,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,0,pink
204,Bittersweet Origins,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,0,pink
205,Bittersweet Origins,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,1,purple
206,Bittersweet Origins,2008,75.0,U.S.A.,3.5,Unknown,Panama,0,pink
207,Bittersweet Origins,2008,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
208,Bittersweet Origins,2008,70.0,U.S.A.,3.0,Forastero,Ghana,1,purple
209,Black Mountain,2008,70.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
210,Black Mountain,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,1,purple
211,Black Mountain,2008,70.0,U.S.A.,3.0,Unknown,Nicaragua,1,purple
212,Black River (A. Morin),2014,70.0,U.K.,2.75,Trinitario,Jamaica,1,purple
213,Blanxart,2013,82.0,Spain,3.5,Forastero,Congo,2,dark purple
214,Blanxart,2009,72.0,Spain,2.75,Unknown,Unknown,1,purple
215,Blue Bandana,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,2,dark purple
216,Blue Bandana,2016,75.0,U.S.A.,2.75,Unknown,Guatemala,1,purple
217,Blue Bandana,2016,75.0,U.S.A.,3.5,Unknown,Tanzania,0,pink
218,Blue Bandana,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
219,Blue Bandana,2012,70.0,U.S.A.,3.5,Unknown,Guatemala,0,pink
220,Blue Bandana,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0,pink
221,Bonnat,2016,75.0,France,3.5,Unknown,Mexico,0,pink
222,Bonnat,2014,75.0,France,4.0,Unknown,Brazil,0,pink
223,Bonnat,2014,75.0,France,3.25,Unknown,Dominican Republic,0,pink
224,Bonnat,2014,65.0,France,3.75,Unknown,"Venez,Africa,Brasil,Peru,Mex",0,pink
225,Bonnat,2013,75.0,France,3.5,Unknown,Brazil,0,pink
226,Bonnat,2013,75.0,France,3.25,Unknown,Gabon,0,pink
227,Bonnat,2011,75.0,France,3.5,Trinitario,Cuba,0,pink
228,Bonnat,2011,75.0,France,3.5,Unknown,Peru,0,pink
229,Bonnat,2011,75.0,France,3.5,Forastero (Nacional),Peru,0,pink
230,Bonnat,2011,75.0,France,3.75,Unknown,Brazil,0,pink
231,Bonnat,2011,75.0,France,4.0,Unknown,Haiti,0,pink
232,Bonnat,2011,75.0,France,4.0,Criollo,Madagascar,0,pink
233,Bonnat,2011,75.0,France,3.5,Unknown,Brazil,0,pink
234,Bonnat,2011,75.0,France,3.25,Trinitario,Jamaica,0,pink
235,Bonnat,2009,75.0,France,3.0,Unknown,Ivory Coast,1,purple
236,Bonnat,2009,75.0,France,2.75,Criollo,Peru,1,purple
237,Bonnat,2009,75.0,France,3.0,Criollo,Mexico,1,purple
238,Bonnat,2009,75.0,France,3.0,Criollo,Mexico,1,purple
239,Bonnat,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,0,pink
240,Bonnat,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,1,purple
241,Bonnat,2006,75.0,France,3.75,Trinitario,Carribean,0,pink
242,Bonnat,2006,75.0,France,4.0,Unknown,Venezuela,0,pink
243,Bonnat,2006,75.0,France,4.0,Criollo,Venezuela,0,pink
244,Bonnat,2006,75.0,France,4.0,Trinitario,Madagascar,0,pink
245,Bonnat,2006,100.0,France,1.5,Unknown,Unknown,2,dark purple
246,Bonnat,2006,75.0,France,3.0,Unknown,Sri Lanka,1,purple
247,Bonnat,2006,75.0,France,4.0,Trinitario,Venezuela,0,pink
248,Bouga Cacao (Tulicorp),2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,0,pink
249,Bouga Cacao (Tulicorp),2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,2,dark purple
250,Bowler Man,2014,70.0,U.S.A.,2.75,Trinitario,Belize,1,purple
251,Bowler Man,2014,70.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
252,Brasstown aka It's Chocolate,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,0,pink
253,Brasstown aka It's Chocolate,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,0,pink
254,Brasstown aka It's Chocolate,2015,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
255,Brasstown aka It's Chocolate,2014,70.0,U.S.A.,3.75,Trinitario,Belize,0,pink
256,Brasstown aka It's Chocolate,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,0,pink
257,Brasstown aka It's Chocolate,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,1,purple
258,Brasstown aka It's Chocolate,2013,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
259,Brasstown aka It's Chocolate,2013,75.0,U.S.A.,3.5,Forastero,Ghana,0,pink
260,Brasstown aka It's Chocolate,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,2,dark purple
261,Brazen,2015,60.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
262,Brazen,2015,80.0,U.S.A.,3.25,Unknown,Dominican Republic,2,dark purple
263,Brazen,2015,70.0,U.S.A.,3.5,Unknown,Guatemala,0,pink
264,Brazen,2015,80.0,U.S.A.,2.75,Unknown,Madagascar,2,dark purple
265,Brazen,2015,80.0,U.S.A.,3.25,Trinitario,Belize,2,dark purple
266,Brazen,2015,60.0,U.S.A.,3.25,Unknown,Madagascar,0,pink
267,Breeze Mill,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica,1,purple
268,Bright,2014,72.0,Australia,3.0,Trinitario,Madagascar,1,purple
269,Bright,2014,70.0,Australia,3.5,Unknown,Dominican Republic,0,pink
270,Bright,2014,72.0,Australia,3.5,Unknown,Ecuador,0,pink
271,Bright,2014,68.0,Australia,2.75,Trinitario,Trinidad,1,purple
272,Britarev,2015,70.0,Russia,3.25,Unknown,Ecuador,0,pink
273,Bronx Grrl Chocolate,2013,68.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
274,Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad,0,pink
275,Burnt Fork Bend,2014,72.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
276,Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Trinitario,Belize,0,pink
277,Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Blend,Unknown,0,pink
278,Burnt Fork Bend,2014,60.0,U.S.A.,2.5,Unknown,Ecuador,1,purple
279,Cacao Arabuco,2015,70.0,Puerto Rico,2.5,Unknown,Puerto Rico,1,purple
280,Cacao Atlanta,2014,75.0,U.S.A.,2.5,Criollo,Peru,1,purple
281,Cacao Atlanta,2010,75.0,U.S.A.,2.5,Unknown,Dominican Republic,1,purple
282,Cacao Atlanta,2010,75.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
283,Cacao Atlanta,2010,75.0,U.S.A.,2.25,Unknown,Venezuela,1,purple
284,Cacao Barry,2016,65.0,France,3.5,"Trinitario, Criollo",Haiti,0,pink
285,Cacao Barry,2010,70.0,France,3.0,Unknown,Dominican Republic,1,purple
286,Cacao Barry,2008,75.0,France,2.0,Unknown,Tanzania,1,purple
287,Cacao Barry,2007,72.0,France,2.0,Unknown,Venezuela,1,purple
288,Cacao Barry,2007,66.0,France,3.0,Unknown,Mexico,1,purple
289,Cacao de Origen,2015,77.0,Venezuela,3.5,Trinitario,Venezuela,0,pink
290,Cacao de Origen,2015,75.0,Venezuela,3.25,Trinitario,Venezuela,0,pink
291,Cacao de Origen,2014,75.0,Venezuela,2.5,Unknown,Venezuela,1,purple
292,Cacao de Origen,2014,74.0,Venezuela,3.25,Unknown,Venezuela,0,pink
293,Cacao de Origen,2014,75.0,Venezuela,3.5,Trinitario,Venezuela,0,pink
294,Cacao de Origen,2014,70.0,Venezuela,3.75,Trinitario,Venezuela,0,pink
295,Cacao de Origin,2015,74.0,Venezuela,3.25,Unknown,Venezuela,0,pink
296,Cacao Hunters,2016,71.0,Colombia,3.75,Unknown,Colombia,0,pink
297,Cacao Hunters,2016,74.0,Colombia,3.75,Unknown,Colombia,0,pink
298,Cacao Hunters,2015,72.0,Colombia,3.75,Unknown,Colombia,0,pink
299,Cacao Hunters,2014,64.0,Colombia,3.5,Unknown,Colombia,0,pink
300,Cacao Hunters,2014,70.0,Colombia,3.5,Unknown,Colombia,0,pink
301,Cacao Hunters,2014,69.0,Colombia,2.75,Unknown,Colombia,1,purple
302,Cacao Hunters,2014,70.0,Colombia,3.25,Unknown,Colombia,0,pink
303,Cacao Market,2016,70.0,U.S.A.,3.5,Trinitario,Honduras,0,pink
304,Cacao Prieto,2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic,0,pink
305,Cacao Prieto,2011,72.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
306,Cacao Prieto,2011,66.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
307,Cacao Prieto,2011,65.0,U.S.A.,3.25,Unknown,Dominican Republic,0,pink
308,Cacao Sampaka,2016,70.0,Spain,3.5,Criollo,Congo,0,pink
309,Cacao Sampaka,2010,71.0,Spain,3.5,Trinitario,Madagascar,0,pink
310,Cacao Sampaka,2010,71.0,Spain,3.75,Unknown,Ecuador,0,pink
311,Cacao Sampaka,2010,71.0,Spain,4.0,Unknown,Papua New Guinea,0,pink
312,Cacao Sampaka,2010,71.0,Spain,3.25,Trinitario,Grenada,0,pink
313,Cacao Sampaka,2010,71.0,Spain,3.5,Unknown,Venezuela,0,pink
314,Cacao Sampaka,2010,77.0,Spain,3.5,Unknown,Venezuela,0,pink
315,Cacao Sampaka,2009,70.0,Spain,4.0,Criollo,Mexico,0,pink
316,Cacao Sampaka,2009,70.0,Spain,4.0,Criollo,Mexico,0,pink
317,Cacao Store,2015,70.0,Japan,3.0,Trinitario,Madagascar,1,purple
318,Cacao Store,2015,70.0,Japan,3.25,Unknown,Peru,0,pink
319,Cacao Store,2015,70.0,Japan,3.5,Trinitario,Vietnam,0,pink
320,Cacaosuyo (Theobroma Inversiones),2013,70.0,Peru,3.25,Unknown,Peru,0,pink
321,Cacaoyere (Ecuatoriana),2008,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador,0,pink
322,Cacaoyere (Ecuatoriana),2008,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador,0,pink
323,Cacaoyere (Ecuatoriana),2008,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador,2,dark purple
